OrganisationId,OrganisationName,logo_url,authorization_server_url
117,46efd0ae-a7d7-4858-a272-fa3790e16795,Fitbank Pagamentos Eletronicos S.A.,,
118,42609b73-82bc-5758-9c12-7e0bcc84885e,MIDWAY S.A. - SCFI,,
119,3f0dcd58-52ba-5907-b1e5-e523d37fa458,CREDIALIANÇA CCR,,
120,3c13ff66-3972-5ce5-9e78-49cac18af52a,BCO RENDIMENTO S.A.,,
121,3a5ea40d-b088-5118-ac8d-869964bfd67a,PARATI - CFI S.A.,,
122,37ec98b8-55de-5abe-8928-9d3540d1bbae,CREHNOR LARANJEIRAS,,
123,37069280-dd12-5475-b79e-2e434bb8db4b,GETNET ADQUIRENCIA E SERVICOS PARA MEIOS DE PAGAMENTO S A,,
124,36404f3b-743d-5b87-92a0-ddda3618e7a1,BCO DIGIMAIS S.A.,,
125,357eb23b-f14d-5323-936d-f5b47dcb0eb6,BCO TRIANGULO S.A.,,
126,3526aff7-18d3-52f9-9668-ddd4753ea09e,CONF NAC COOP CENTRAIS UNICRED,,
127,31ee4f72-8769-5136-83e4-03f2dd4c935e,BANCO INTER,,
128,30e4d3c0-f0a8-53b8-95d3-0af6b2ffddee,QI SCD S.A.,,
129,2ff098d1-a482-5f68-8a12-b8f0109c4811,FIN. ITAU CBD CFI,,
130,2ef309cb-7e91-44c5-a426-554fb972a9c2,TORO CTVM,,
131,2edb4cc0-8a11-5034-aadf-0f05878bdcc7,BANCO ITAÚ CONSIGNADO S.A.,,
132,2d8829d2-4784-5a8a-9243-abd4a579000e,BCO DO EST. DE SE S.A.,,
133,2b72d01e-4469-5cdf-a408-c91732b2f772,CREDICOAMO,,
134,2a01e202-e8f0-5f5a-9651-ebc257371e6e,BCO DO ESTADO DO RS S.A.,,
135,27aea8f6-2119-55f8-9553-5ad4b08eeb17,BANCO DIGIO,,
136,25f7932a-a188-5491-896c-5bda5f4fd789,CCR DE IBIAM,,
137,23f9e3dd-31a1-4eaf-a440-37711ad34e81,U4C INSTITUICAO DE PAGAMENTO SA,,
138,21f306af-5a9a-5dc6-a8f3-f56ff394e7be,PAGSEGURO,,
139,21d26a33-f1bc-5a9e-956c-0bfe048608da,BCO BRADESCO FINANC. S.A.,,
140,218b28be-b283-5994-973e-3bafbffccf0c,REALIZE CFI S.A.,,
141,1e8a43c5-b11b-5ca1-bf48-0c5632fcca8a,CC UNIPRIME SUL MS,,
142,1e6aeb44-8b00-5e2a-bcf7-e3db7f3b7e6f,BCO MÁXIMA S.A.,,
143,1a7178ab-ed8d-5475-89b7-5f1f9c6a3e25,NUMBRS SCD S.A.,,
144,19f45346-a153-584d-b10f-3f57a20c4a75,CORA SCD S.A.,,
145,18543a69-338d-5e5b-8aa3-dc640ef5f4a2,UNIPRIME CENTRAL CCC LTDA.,,
146,12b75f0d-43f5-54fb-a292-36da6141fceb,CCR DE SÃO MIGUEL DO OESTE,,
147,10cdce05-4d58-4b09-9da8-6637dee369dc,Trinus Sociedade de Credito Direto S.A.,,
148,0e8dc735-25a6-5b66-b004-630c242a57cf,ITAÚ DTVM S.A.,,
149,0e7f1342-d2bf-52f6-adbe-3f137aea9449,BCO LA NACION ARGENTINA,,
150,0dd36270-d5d6-5bec-86ca-c9b8fcb015dd,OMNI BANCO SA,,
151,0da3f6e5-a748-55d1-b39f-1653df146729,CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI,,
152,0ca05092-025f-47c4-b878-4a03c150cccf,GERU SOCIEDADE DE CREDITO DIRETO,,
153,0bd0b05e-ce18-5105-bbe9-ddf16a79eff9,BANCO BTG PACTUAL S.A.,,
154,0724800f-c8d8-505c-bf8b-4d5e09a894cb,BCO HSBC S.A.,,
155,0663f6ea-2dd2-5b19-9194-dda6763dca7f,BCO DO EST. DO PA S.A.,,
156,062c5edb-4e83-5002-9981-e2a96c5ad41e,BCO VOTORANTIM S.A.,,
157,0481f9fe-c01b-51c8-88d2-9a18d32b19b3,ÁGORA CTVM S.A.,,
